date,Value,Geography,Occupation,Year of Arrival,Country of Birth
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Middle East and Asia: China
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Middle East and Asia: Bangladesh
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Middle East and Asia: India
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Middle East and Asia: Pakistan
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,Middle East and Asia: Other
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,The Americas and the Caribbean: Canada
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,The Americas and the Caribbean: United States
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,The Americas and the Caribbean: Jamaica
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,The Americas and the Caribbean: Other
2011,0,England and Wales (K04000001),2. Professional occupations,Born in the UK,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Europe: United Kingdom
2011,12867,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Europe: Ireland
2011,2397,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,12115,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,1699,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,423,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,5619,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,828,England and Wales (K04000001),2. Professional occupations,Arrived before 1981,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
