date,geography,geography code,Value,Age,Occupation,Highest Level of Qualification
2011,North West,E12000002,2099,Age 16 to 24,4. Administrative and secretarial occupations,Apprenticeships and other qualifications
2011,Yorkshire and The Humber,E12000003,1760,Age 16 to 24,4. Administrative and secretarial occupations,Apprenticeships and other qualifications
2011,East Midlands,E12000004,1327,Age 16 to 24,4. Administrative and secretarial occupations,Apprenticeships and other qualifications
2011,West Midlands,E12000005,1814,Age 16 to 24,4. Administrative and secretarial occupations,Apprenticeships and other qualifications
2011,East,E12000006,1409,Age 16 to 24,4. Administrative and secretarial occupations,Apprenticeships and other qualifications
2011,London,E12000007,2989,Age 16 to 24,4. Administrative and secretarial occupations,Apprenticeships and other qualifications
2011,South East,E12000008,1693,Age 16 to 24,4. Administrative and secretarial occupations,Apprenticeships and other qualifications
2011,South West,E12000009,1245,Age 16 to 24,4. Administrative and secretarial occupations,Apprenticeships and other qualifications
2011,Wales,W92000004,392,Age 16 to 24,4. Administrative and secretarial occupations,Apprenticeships and other qualifications
2011,North East,E12000001,961,Age 16 to 24,5. Skilled trades occupations,No qualifications
2011,North West,E12000002,2928,Age 16 to 24,5. Skilled trades occupations,No qualifications
2011,Yorkshire and The Humber,E12000003,2761,Age 16 to 24,5. Skilled trades occupations,No qualifications
2011,East Midlands,E12000004,2095,Age 16 to 24,5. Skilled trades occupations,No qualifications
2011,West Midlands,E12000005,2945,Age 16 to 24,5. Skilled trades occupations,No qualifications
2011,East,E12000006,2962,Age 16 to 24,5. Skilled trades occupations,No qualifications
2011,London,E12000007,3072,Age 16 to 24,5. Skilled trades occupations,No qualifications
2011,South East,E12000008,3744,Age 16 to 24,5. Skilled trades occupations,No qualifications
2011,South West,E12000009,2337,Age 16 to 24,5. Skilled trades occupations,No qualifications
2011,Wales,W92000004,1587,Age 16 to 24,5. Skilled trades occupations,No qualifications
2011,North East,E12000001,2801,Age 16 to 24,5. Skilled trades occupations,Level 1 qualifications
2011,North West,E12000002,7755,Age 16 to 24,5. Skilled trades occupations,Level 1 qualifications
2011,Yorkshire and The Humber,E12000003,6260,Age 16 to 24,5. Skilled trades occupations,Level 1 qualifications
2011,East Midlands,E12000004,5784,Age 16 to 24,5. Skilled trades occupations,Level 1 qualifications
2011,West Midlands,E12000005,6486,Age 16 to 24,5. Skilled trades occupations,Level 1 qualifications
2011,East,E12000006,8217,Age 16 to 24,5. Skilled trades occupations,Level 1 qualifications
2011,London,E12000007,5269,Age 16 to 24,5. Skilled trades occupations,Level 1 qualifications
2011,South East,E12000008,11164,Age 16 to 24,5. Skilled trades occupations,Level 1 qualifications
2011,South West,E12000009,7611,Age 16 to 24,5. Skilled trades occupations,Level 1 qualifications
2011,Wales,W92000004,4131,Age 16 to 24,5. Skilled trades occupations,Level 1 qualifications
2011,North East,E12000001,3695,Age 16 to 24,5. Skilled trades occupations,Level 2 qualifications
2011,North West,E12000002,10773,Age 16 to 24,5. Skilled trades occupations,Level 2 qualifications
2011,Yorkshire and The Humber,E12000003,8329,Age 16 to 24,5. Skilled trades occupations,Level 2 qualifications
2011,East Midlands,E12000004,7218,Age 16 to 24,5. Skilled trades occupations,Level 2 qualifications
2011,West Midlands,E12000005,8494,Age 16 to 24,5. Skilled trades occupations,Level 2 qualifications
2011,East,E12000006,9961,Age 16 to 24,5. Skilled trades occupations,Level 2 qualifications
2011,London,E12000007,6403,Age 16 to 24,5. Skilled trades occupations,Level 2 qualifications
2011,South East,E12000008,13752,Age 16 to 24,5. Skilled trades occupations,Level 2 qualifications
2011,South West,E12000009,9708,Age 16 to 24,5. Skilled trades occupations,Level 2 qualifications
2011,Wales,W92000004,5250,Age 16 to 24,5. Skilled trades occupations,Level 2 qualifications
2011,North East,E12000001,4919,Age 16 to 24,5. Skilled trades occupations,Level 3 qualifications
2011,North West,E12000002,12599,Age 16 to 24,5. Skilled trades occupations,Level 3 qualifications
2011,Yorkshire and The Humber,E12000003,10208,Age 16 to 24,5. Skilled trades occupations,Level 3 qualifications
2011,East Midlands,E12000004,7938,Age 16 to 24,5. Skilled trades occupations,Level 3 qualifications
2011,West Midlands,E12000005,8745,Age 16 to 24,5. Skilled trades occupations,Level 3 qualifications
2011,East,E12000006,9833,Age 16 to 24,5. Skilled trades occupations,Level 3 qualifications
2011,London,E12000007,7079,Age 16 to 24,5. Skilled trades occupations,Level 3 qualifications
2011,South East,E12000008,13752,Age 16 to 24,5. Skilled trades occupations,Level 3 qualifications
2011,South West,E12000009,11265,Age 16 to 24,5. Skilled trades occupations,Level 3 qualifications
2011,Wales,W92000004,5914,Age 16 to 24,5. Skilled trades occupations,Level 3 qualifications
2011,North East,E12000001,1213,Age 16 to 24,5. Skilled trades occupations,Level 4 qualifications and above
2011,North West,E12000002,3092,Age 16 to 24,5. Skilled trades occupations,Level 4 qualifications and above
2011,Yorkshire and The Humber,E12000003,2242,Age 16 to 24,5. Skilled trades occupations,Level 4 qualifications and above
2011,East Midlands,E12000004,1943,Age 16 to 24,5. Skilled trades occupations,Level 4 qualifications and above
2011,West Midlands,E12000005,2273,Age 16 to 24,5. Skilled trades occupations,Level 4 qualifications and above
2011,East,E12000006,2403,Age 16 to 24,5. Skilled trades occupations,Level 4 qualifications and above
2011,London,E12000007,3623,Age 16 to 24,5. Skilled trades occupations,Level 4 qualifications and above
2011,South East,E12000008,3844,Age 16 to 24,5. Skilled trades occupations,Level 4 qualifications and above
2011,South West,E12000009,2685,Age 16 to 24,5. Skilled trades occupations,Level 4 qualifications and above
2011,Wales,W92000004,1682,Age 16 to 24,5. Skilled trades occupations,Level 4 qualifications and above
2011,North East,E12000001,4409,Age 16 to 24,5. Skilled trades occupations,Apprenticeships and other qualifications
